url_path,views_total,views_unique
/grp-bork/reCOGnise/commits/main,16,2
/grp-bork/reCOGnise,10,2
/grp-bork/reCOGnise/tree/main/recognise,6,1
/grp-bork/reCOGnise/blob/main/Dockerfile,4,1
/grp-bork/reCOGnise/commits/bc8f065cbba441ddd612bea2dd564a55370fd83d,4,1
/grp-bork/reCOGnise/blob/github-repo-stats/grp-bork/reCOGnise/ghrs-data/views_clones_aggregate.csv,2,1
/grp-bork/reCOGnise/blob/main/nextflow.config,2,1
/grp-bork/reCOGnise/commit/893c141dc91c67c6d0d85ab19a3b6a1a619dc8fd,2,1
/grp-bork/reCOGnise/tree/bc8f065cbba441ddd612bea2dd564a55370fd83d,2,1
/grp-bork/reCOGnise/tree/main,2,1
