time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,20,7,0,0
2026-04-29 00:00:00+00:00,84,20,0,0
2026-04-30 00:00:00+00:00,24,9,0,0
2026-05-01 00:00:00+00:00,18,7,0,0
2026-05-02 00:00:00+00:00,32,11,0,0
2026-05-03 00:00:00+00:00,44,13,0,0
2026-05-04 00:00:00+00:00,42,15,0,0
2026-05-05 00:00:00+00:00,132,36,0,0
2026-05-06 00:00:00+00:00,24,9,0,0
2026-05-07 00:00:00+00:00,48,19,1,1
2026-05-08 00:00:00+00:00,41,17,0,0
2026-05-09 00:00:00+00:00,30,9,2,2
2026-05-10 00:00:00+00:00,28,7,0,0
2026-05-11 00:00:00+00:00,13,5,0,0
